title,url,area,balcony_garden,finish_condition,floor,form_of_ownership,location,parking_space,price,price_per_m2,rent,rooms,listing_description
Super lokalizacja! Słoneczne!,https://www.otodom.pl/pl/oferta/super-lokalizacja-sloneczne-ID4rFjC,50.59,balkon,do zamieszkania,4-Jan,pełna własność,"al. Aleja Wyścigowa, Służew, Mokotów, Warszawa, mazowieckie","garaż/miejsce parkingowe,Obsługa zdalna",814000,15961,800,2,"Mam dziś do zaoferowania Państwu wyjątkową nieruchomość dla osoby, która ceni sobie ciszę i spokój, a jednocześnie bliskość zieleni, oraz świetną komunikację z centrum miasta. INFORMACJE O NIERUCHOMOŚCI: Mieszkanie  2-pokojowe  o powierzchni  50,59 m2 . Nieruchomość znajduje się na  1 piętrze  w 4-piętrowm budynku bez windy. Do mieszkania przynależy  piwnica  o powierzchni ok. 3,5 m2 (dodatkowo płatna 15 000 złotych). Dla mieszkańców dostępny jest  parking  pod budynkiem.  Rozkład nieruchomości: - salonu z wyjściem na balkon, - sypialni - widnej kuchni - łazienki z WC, - przedpokoju. INFORMACJE O LOKALIZACJI: Nieruchomość znajduje się przy Al. Wyścigowej 18 na Mokotowie. Świetnie skomunikowane: liczne  przystanki autobusowe  oraz w pobliżu znajduje się  stacja metra Służew .  Doskonała komunikacja:  Aleja Wyścigowa jest dobrze skomunikowana z resztą miasta. Bliskość do głównych arterii komunikacyjnych, takich jak ul. Puławska, zapewnia łatwy dostęp do centrum Warszawy oraz innych dzielnic. Dodatkowo, w okolicy znajdują się liczne przystanki autobusowe i tramwajowe, a także stacje metra, co umożliwia wygodne podróżowanie transportem publicznym. Bliskość terenów zielonych:  W pobliżu znajduje się wiele parków i terenów rekreacyjnych, takich jak Park Dolinka Służewiecka, Park Wyścigi oraz Tor Wyścigów Konnych Służewiec. To idealne miejsca na spacery, jogging czy pikniki na świeżym powietrzu. Rozwinięta infrastruktura handlowo-usługowa : W okolicy można znaleźć liczne sklepy, centra handlowe (np. Galeria Mokotów), restauracje, kawiarnie oraz punkty usługowe. Bliskość do takich miejsc sprawia, że codzienne zakupy i załatwianie spraw są bardzo wygodne. Bogata oferta edukacyjna i medyczna:  W rejonie Alei Wyścigowej znajduje się wiele przedszkoli, szkół podstawowych i średnich, co czyni tę lokalizację atrakcyjną dla rodzin z dziećmi. Ponadto, w okolicy działają liczne placówki medyczne, w tym przychodnie i szpitale, co zapewnia łatwy dostęp do opieki zdrowotnej. Spokój i bezpieczeństwo:  Pomimo bliskości do tętniącego życiem centrum miasta, Aleja Wyścigowa oferuje spokojne i ciche otoczenie. To idealne miejsce dla osób szukających równowagi między miejskim życiem a spokojem. Cena:  814.000 zł + piwnica 15.000 zł Czynsz:  820 zł Stan prawny:  Pełna własność z księga wieczystą, możliwość zakupu na kredyt. W naszej ofercie posiadamy: - ekipę wykończeniową, która współpracuje z Nami przy wszystkich inwestycjach - doradcę finansowego, który sprawnie pomoże załatwić finansowanie - architekta, który pomoże na etapie projektowania Zapraszamy do kontaktu! Pracujemy codziennie od 9:00-21:00 Mateusz Bandel +48 531 802 051 Belvedere Estate | Butikowa Agencja Nieruchomości"
Nowe 3 lub 4 pokoje+Taras 10m2+Obok PKM_Zobacz !,https://www.otodom.pl/pl/oferta/nowe-3-lub-4-pokoje-taras-10m2-obok-pkm-zobacz-ID4rNmL,10,balkon,do wykończenia,4-Jan,pełna własność,"Ujeścisko-Łostowice, Gdańsk, pomorskie","garaż/miejsce parkingowe,tak",513500,9170,contact for details,4,"    Dni Otwarte w PIĄTEK I SOBOTE !!! -> Jakie dodatkowe BONUSY MOŻNA UZYSKAĆ ?       Dodatkowy rabat na mieszkanie oraz miejsce postojowe lub garażowe   Preferencyjne warunki zakupowe   Koszty umowy deweloperskiej lub przedwstępnej za 0 zł   Obligatoryjny zakup miejsca 30000zł     Lokalizacja      Inwestycja jest realizowana nieopodal południowej obwodnicy Gdańska, pomiędzy traktem św. Wojciecha a trójmiejską obwodnicą. Takie usytuowanie osiedla pozwala zarówno szybko wyjechać z Gdańska, jak i łatwo dotrzeć w najważniejsze miejsca aglomeracji.   Dojazd do centrum Gdańska prowadzący poprzez trakt św. Wojciecha zajmuje jedynie 15 min.   400 metrów pieszo od inwestycji znajduje się przystanek autobusowy „Starogardzka”, z którego odjeżdża linia 175 w kierunku dzielnicy Siedlce.   Gdańsk Lipce - 4min   15min CENTRUM   Obok budowanej kolejki PKM         Osiedle cechuje:     - niskie koszty eksploatacyjne, czynsz razem z funduszem remontowym i zaliczkami na ciepłą zimną wodę,   ogrzewanie, utrzymanie części wspólnych, ochronę i sprzątanie - 8 PLN za m2 mieszkania, - własność gruntu, brak dodatkowych kosztów z tytułu użytkowania wieczystego         Zapraszam do kontaktu!"
"Śródmieście - Wschodnia - 48,87m2 - 2 pokoje",https://www.otodom.pl/pl/oferta/srodmiescie-wschodnia-48-87m2-2-pokoje-ID4n8cH,48.87,balkon,do zamieszkania,3-Mar,pełna własność,"ul. Wschodnia, Śródmieście, Lublin, lubelskie","Miejsce parkingowe,miejskie",480000,9822,400,2,"Ofertą sprzedaży jest piękne przestronne mieszkanie położone w samym centrum Lublina. Mieszkanie składa się z 2 niezależnych pokoi, przedpokoju, łazienki + WC, oddzielnej kuchni. Do mieszkania przynależy również balkon (francuski) i piwnica. Mieszkanie przeszło gruntowny remont. Wymieniona została instalacja hydrauliczna, elektryczna, gazowa, podłogi i drzwi. Podłogi w pomieszczeniach wykończone panelami, w przedpokoju, kuchni i łazience położone są płytki. WYPOSAŻENIE MIESZKANIA W CENIE! Ekspozycja okien na Północ i na Zachód. 3 piętro w niskim zadbanym bloku.  Ogrzewanie miejskie, woda z piecyka gazowego."
** Przestronne 2-Pokoje Do Wejścia **,https://www.otodom.pl/pl/oferta/przestronne-2-pokoje-do-wejscia-ID4qdjA,34,Balkon / ogród / taras,do zamieszkania,4-Feb,pełna własność,"ul. Hutnicza, Tatary, Lublin, lubelskie",,355000,10441,contact for details,2,"Oferta sprzedaży jest mieszkanie w dzielnicy Tatary Nieruchomość o której mowa znajduje się dokładnie przy ulicy Hutniczej, położone jest na 2 piętrze, w 4 piętrowym niskim bloku. Na powierzchnię 34m2 składają się:  ✔ Salon z aneksem kuchennym -   ✔ Sypialnia   ✔ Łazienka z WC   ✔ Przedpokój  Nieruchomość wykończone w wysokim standardzie , gotowe do wprowadzenia się od zaraz , bez dodatkowego nakładu finansowego jakim jest remontu w przypadku kupna mieszkania bezpośrednio od dewelopera ! Mieszkanie mimo swojego nie dużego metrażu nie sprawia wrażenia małego, wszystko za sprawą dużego salonu z aneksem kuchennym który gotowy jest do własne aranżacji i daje dużo możliwości. Lokalizacja w której znajduję się blok a zarazem mieszkanie idealnie sprawdzi się na osób studiujących jak i pod inwestycje jaką jest wynajem. Wokół bloku znajdują się przystanki komunikacji miejskiej dzięki której dojedziemy w każdą część Lublina. Lokalizacja: ✔ Centrum - ok. 3.5km  ✔ UMCS - ok. 4,5km ✔ Politechnika Lubelska - ok. 4km ✔ Uniwersytet Przyrodniczy - ok. 4km Zapraszam na bezpłatną prezentacje oraz do kontaktu telefonicznego gdyby pojawiły się jakiekolwiek pytania związane z nieruchomością. ! Pomagamy w sprawie uzyskania kredytu hipotecznego ! Dominik Kmieć  Doradca Ds. Nieruchomości tel: 575 101 422 Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
"2 pokoje, Ul. Norwida",https://www.otodom.pl/pl/oferta/2-pokoje-ul-norwida-ID4rNmM,37.2,Balkon / ogród / taras,do wykończenia,4-Mar,pełna własność,"Lubsko, Lubsko, żarski, lubuskie","garaż/miejsce parkingowe,miejskie",187000,5027,400,2,"2 POKOJE, 3 PIĘTRO Oferujemy na sprzedaż mieszkanie 2-pokojowe znajdujące się na 3 piętrze bloku przy ulicy Norwida w Lubsku. Lokal o powierzchni 37,2 m2 składa się z 2 pokoi, łazienki z WC, przedpokoju i kuchni. Z większego pokoju wyjście na słoneczny balkon. Okna PCV. Ogrzewanie z sieci. Ciepła woda z termy gazowej. Blok po termomodernizacji. Czynsz to zaledwie 400 złotych. CENA DO NEGOCJACJI Zainteresowała Cię ta oferta? A może inna? Nie trać czasu, zadzwoń! Więcej ciekawych ofert i zdjęć na  W naszym biurze uzyskacie Państwo również bezpłatną poradę w zakresie kredytu hipotecznego. Pomagamy w uzyskaniu kredytu. Powyższy opis ma charakter informacyjny i nie stanowi oferty w rozumieniu przepisów art. 66 § 1. Kodeksu Cywilnego. Zapraszamy do biura AURUM NIERUCHOMOŚCI, ul. Chrobrego 41 , 68- 200 Żary Osoba prowadząca ofertę: Maksymilian Aurum Nieruchomości tel. 696 108 179 
 
Oferta wysłana z programu dla biur nieruchomości ASARI CRM () 
"
* Kawalerka Po Remoncie *,https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-ID4ryjH,25,,4-Apr,miejskie,Forma własności,"ul. Przyjaźni, Tatary, Lublin, lubelskie",,265000,10600,contact for details,do zamieszkania,"Ofertą sprzedaży jest mieszkanie na ulicy Przyjaźni o powierzchni 25m2. Mieszkanie zlokalizowane w cichej i spokojnej okolicy na którego metraż składa się: -pokój -otwarta kuchnia -przedpokój  -łazienka wraz z WC Do oferowanego mieszkania przynależy również komórka lokatorska. Prezentowane mieszkanie znajduje się na 4 piętrze niskiego 4 piętrowego bloku i gotowe jest do zamieszkania bez wkładu finansowego, idealnie sprawdzi się jako mieszkanie pod wynajem dla studentów, którzy z dzielnicy Bronowice mają bardzo dobry dojazd do każdej uczelni w Lublinie. Wokół bloku w którym znajduje się mieszkanie znajdują się liczne miejsca postojowe dzięki czemu bez problemu zaparkujemy samochód o każdej porze dnia. Blok usytułowany jest w dzielnicy Tatry dzięki czemu odległość dzieląca nas od centrum jest znikoma i bez większego problemu dojedziemy do centrum miasta komunikacją miejską które jest tuż koło bloku w którym znajduje się prezentowane państwu mieszkanie. Zachęcam na bezpłatną prezentacje mieszkania i kontaktu telefonicznego w razie wszelkich pytań. Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
"Nowe Mieszkanie Promocja, Al Spółdzielczości Pracy",https://www.otodom.pl/pl/oferta/nowe-mieszkanie-promocja-al-spoldzielczosci-pracy-ID4r0lF,38.3,Balkon / ogród / taras,do wykończenia,6-Apr,pełna własność,"Aleja Spółdzielczości Pracy, Ponikwoda, Lublin, lubelskie",,463690,12107,contact for details,2,"BRAK PCC I PROWIZJI! CENA PROMOCYJNA DO 13.07 Nowa inwestycja w Lublinie powstanie w niezwykle atrakcyjnej lokalizacji, łącząc kameralne sąsiedztwo domów jednorodzinnych z bogactwem atrakcji kulturalno-rozrywkowych w znajdującej się nieopodal  Galerii Olimp. Położenie inwestycji umożliwi jego mieszkańcom dojazd do Starego Miasta w zaledwie 5 minut. Dwa bloki, w których znajdziecie Państwo mieszkania 1,2,3 i 4 pokojowe zostaną wybudowane z dbałością o każdy szczegół oraz z rozwiązaniami, które mają w jak największym stopniu ułatwić życie mieszkańcom. Instalacja Home Management System zamontowana w murach inwestycji umożliwi korzystanie z najnowocześniejszych urządzeń smart home. Mieszkańcy będą mogli sterować zarówno zdalnie – za pomocą aplikacji mobilnej – jak i manualnie ogrzewaniem, zaworami wody, roletami wewnętrznymi czy oświetleniem. Pakiet antysmogowy w postaci nowoczesnych filtrów zapewni świeże powietrze we wnętrzach. Zapomnij o smogu, alergenach, pyłkach roślin i insektach. Części wspólne w budynkach zostały zaprojektowanie w wysokim standardzie. Klatki schodowe i korytarze zostaną wyłożone m.in. trwałymi płytkami gresowymi, dekoracyjnymi panelami meblowymi imitującymi drewno czy też energooszczędną oprawą liniową LED. W holach wejściowych napotkamy duże lustra oraz estetyczne skrzynki pocztowe. Mieszkania na parterze będą posiadały dostęp do dodatkowej powierzchni plenerowej w postaci wybrukowanych kostką tarasów z zielonymi ogródkami o powierzchni nawet 113 mkw. Do lokali mieszkalnych na piętrach będą przynależeć nawet dwa przestronne balkony. Zbudowane z łączników termoizolacyjnych zapobiegną utracie ciepła ze środka mieszkania. Nowoczesne, wysokie okna portfenetrowe, rozciągające się niemal od podłogi do sufitu, zapewnią bardzo dobre nasłonecznienie wnętrz. Użytkownicy samochodów elektrycznych będą mogli ładować na terenie osiedla swoje niskoemisyjne pojazdy. W tym ogłoszeniu mam przyjemność zaprezentować Państwu mieszkanie o metrażu 38,30 m2 znajdujące się na czwartym piętrze, w skład którego wchodzi: * salon z aneksem kuchennym o metrażu: 16,49 m2 * sypialnia o metrażu: 11,36 m2 * łazienka o metrażu: 5,02 m2 * hol wejściowy o metrażu: 5,43 m2 W promocji miejsce postojowe naziemne w cenie mieszkania oraz smart home Premium i ubezpieczenie od utraty stałego źródła dochodu Zakończenie budowy przewidziane jest na kwiecień 2026 roku. Po więcej informacji na temat inwestycji jak i dostępności mieszkań lub obowiązujących promocji zapraszam do kontaktu telefonicznego. Kamila Krawczyk Ekspert ds. Nieruchomości 575 101 282 Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
2 pokoje 38m2 Niepodległości/Kalinowszczyzna,https://www.otodom.pl/pl/oferta/2-pokoje-38m2-niepodleglosci-kalinowszczyzna-ID4rnNi,37.9,balkon,do remontu,4-Apr,pełna własność,"ul. Niepodległości, Kalinowszczyzna, Lublin, lubelskie","Miejsce parkingowe,miejskie",339000,8945,430,2,"Na sprzedaż mieszkanie 2 pokojowe o powierzchni 37,9m2 położone przy ulicy Niepodległości na Kalinowszczyźnie w Lublinie.  Lokal składa się z dwóch niezależnych pokoi, oddzielnej kuchni, łazienki, wc i przedpokoju. Ponadto do mieszkania przynależy balkon oraz piwnica. Ogrzewanie i ciepła woda z sieci miejskiej.  4 piętro w 4 piętrowym bloku. Okna pcv, czynsz około 430 złotych."
"!Czechów - Lipińskiego, 3 pokoje, 48,2m2!",https://www.otodom.pl/pl/oferta/czechow-lipinskiego-3-pokoje-48-2m2-ID4rDdd,48.2,balkon,do remontu,4-Mar,pełna własność,"ul. Karola Lipińskiego, Czechów Południowy, Lublin, lubelskie","Miejsce parkingowe,miejskie",399000,8278,500,3,"Ofertą sprzedaży jest urokliwe, dwustronne mieszkanie położone w świetnej lokalizacji. Blisko centrum, pełna infrastruktura (sklepy, szkoły, przychodnie). Mieszkanie sprawdzi się zarówno dla rodziny jak i będzie świetną inwestycją. 3 nieprzechodnie pokoje, oddzielna kuchnia, łazienka, WC i przedpokój. Do mieszkania przynależy również balkon (klasyczny), oraz piwnica (3,2m2). Mieszkanie usytuowane na 3 piętrze w niskim bloku. Ekspozycja okien na wschód i zachód. Ogrzewanie i woda z sieci miejskiej! Spółdzielnia Mieszkaniowa Czechów."
"!!! 3 pokoje, 44,43m2, 2km od Wsei !!!",https://www.otodom.pl/pl/oferta/3-pokoje-44-43m2-2km-od-wsei-ID4rpnP,88,Balkon / ogród / taras,do zamieszkania,4-Apr,pełna własność,"ul. Hutnicza, Tatary, Lublin, lubelskie",miejskie,375000,8440,530,3,"Ofertą sprzedaży jest wyjątkowe 3 pokojowe mieszkanie zlokalizowane przy ul. Hutniczej. Mieszkanie położone na 4 piętrze w niskim bloku. Na powierzchnie mieszkania składają się 3 pokoje, oddzielna kuchnia, łazienka z WC i przedpokój. Do mieszkania przynależy również piwnica ok. 2,88m2 oraz pomieszczenie wspólne. Czynsz -  ok. 530zł Media -   Woda i ogrzewanie z sieci miejskiej Okna PCV z ekspozycją na wschód i zachód. Znakomita infrastruktura osiedla. Bliskość zarówno terenów zielonych jak i punktów handlowo-usługowych: WSEI  - ok. 2km Biedronka  - ok. 300m Przystanek autobusowy  - ok. 350m Szkoła podstawowa  - ok. 700m Liceum  - ok. 600m Komenda  - ok. 450m Zapraszam na bezpłatną prezentację! Pomagamy również w uzyskaniu kredytu hipotecznego! Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
Dostęp do plaży - Półwysep Helski - apart. 2pok.,https://www.otodom.pl/pl/oferta/dostep-do-plazy-polwysep-helski-apart-2pok-ID4rjJu,150,balkon,do zamieszkania,3-Mar,pełna własność,"ul. Adama Mickiewicza, Jastarnia, Jastarnia, pucki, pomorskie","garaż/miejsce parkingowe,miejskie",1315000,28463,contact for details,2,"INWESTYCJA I WYPOCZYNEK - Dla miłośników Półwyspu Helskiego, Jastarni i plaży nad otwartym morzem. ""Wydma i Las"" to wyjątkowy  kompleks z ""własnym"" dostępem do bałtyckiej plaży (spacer 3 min ścieżką przez las sosnowy do wejścia nr 54).   Wyjątkowa bardzo dobra oferta hybrydowa - na własne potrzeby (wspaniały nadmorski relaks przez cały rok) jak i dobra propozycja inwestycyjna.  Oferujemy piękny apartament 2-pokojowy z dużym tarasem typu loggia z widokiem na las sosnowy w kierunku otwartego Morza Bałtyckiego.  Idealny jako własny wakacyjny ""drugi dom"" i/lub inwestycja pod wynajem krótkoterminowy.  Ten sympatyczny apartament  urządzony jest nowocześnie acz z dbałością o komfort i poczucie estetyki.  Dodatkowo położenie apartamentu na ostatnim 3. piętrze zapewnia ciszę i spokój (odgłosy z otoczenia nie zakłócają spokoju wypoczynku). Przestronna sypialnia z zabudową (szafy wnękowe) i wyjściem na balkon. Salon z panoramicznie przeszkloną ścianą i wyjściem na zadaszony taras poprzez szerokie rozsuwane drzwi. Aneks kuchenny jest bardzo dobrze wykończony i wyposażony. Ładna, nowoczesna łazienka z prysznicem. Wygodne meble, sprzęty AGD/RTV (np. 2 telewizory 55"") i inne sprzęty z tzw. wyższej półki. Zarówno w salonie jak i w sypialni jest zamontowana klimatyzacja sterowana przez panele ścienne. Jednostka klimatyzatora umieszczona jest na dachu, dzięki czemu nie zabiera przestrzeni balkonowej.  Do apartamentu przynależy miejsce postojowe naziemne na monitorowanym parkingu. Dla użytkowników samochodów elektrycznych dostępne są stacje ładowania przy miejscach postojowych. Ten apartament w kompleksie Wydma & Las to idealne miejsce do zamieszkania dla osób poszukujących harmonii między nowoczesnym komfortem a bliskością natury. Lokal jest niezależny administracyjnie i finansowo - czynsz miesięczny ok.1200,-PLN (zależnie od zużycia mediów). Do ceny doliczony zostanie 23% podatek VAT.   Lokalizacja nieruchomości jest absolutnie wyjątkowa; budynek w którym znajduje się apartament położony jest bezpośrednio przy nadmorskim lesie sosnowym, od budynku prowadzi ścieżka na plażę (przez furtkę na kod) 150 m od strony otwartego morza, a tam piaszczysta czysta plaża ciągnąca się kilometrami aż do Helu. Obiekt Wydma&Las to stylowy kompleks w spokojnej części Jastarni, na terenie którego znajduje się strefa wypoczynkowo-rekreacyjna, m.in.: recepcja ze strefą relaksu, coffee shop, wielofunkcyjne boisk, plac zabaw, palenisko, altana z drewnianym tarasem oraz surf-box do przechowywania sprzętu wodnego i rowerownia. Osiedle jest monitorowane oraz obsługiwane przez agencję ochrony. Kompleks typu apart-hotel zlokalizowany jest na Półwyspie Helskim bezpośrednio przy plaży nad Morzem Bałtyckim, z widokiem również na Zatokę Pucką.  BARDZO POLECAM! Zamieszczane przez nas ogłoszenia nie stanowią oferty w rozumieniu Kodeksu Cywilnego, a dane w nich zawarte mają charakter informacyjny. Nasi Klienci zabezpieczeni są polisą OC naszego biura oraz licencją pośrednika PFRN - zapewniamy im rzetelne i kompleksowe doradztwo oraz pomoc formalnoprawną na każdym etapie transakcji."
Segment 101m2/dwa oddzielne mieszkania/Rembertów,https://www.otodom.pl/pl/oferta/segment-101m2-dwa-oddzielne-mieszkania-rembertow-ID4oSH1,101,Balkon / ogród / taras,do zamieszkania,2-Jan,pełna własność,"Stary Rembertów, Rembertów, Warszawa, mazowieckie",gazowe,1390000,13713,contact for details,3,"MOŻLIWE JEST WYDZIELENIE Z NIERUCHOMOŚCI DWÓCH OSOBNYCH MIESZKAŃ - Idealne rozwiązanie pod inwestycje / WYNAJEM Oferujemy  na sprzedaż mieszkanie o pow. 101 m2 , bardzo funkcjonalne, idealnie  rozplanowane,  usytuowane w jednej z willowych uliczek Rembertowa OPIS NIERUCHOMOŚCI: Mieszkanie zlokalizowane jest na 1 piętrze 4-loklowaym budynku wybudowanym w 2020 z bardzo dobrej jakości materiałów z dbałością o   szczegóły,  Jest w pełni wykończony i wyposażony, gotowy do  prowadzenia. Do mieszkania należy  klatka schodowa  oraz  poddasze,  które można zaadoptować na potrzeby mieszkaniowe (piętro 64m2, poddasze użytkowe 37 m2) Wjazd na teren posesji wyłożony kostką, są tam wyznaczone miejsca postojowe dla samochodów przynależna z oferowanego mieszkania. Mieszkanie posiada swój własny ogródek o powierzchni 60 m2 Piętro składa się z: - Salonu -  19,5 m2  z wyjściem na  balkon - ekspozycja okien południowy-zachód - Sypialni nr 1 -  11 m2 -  ekspozycja okien południowy-zachód - Sypialni nr 2 -  8,5 m2  - ekspozycja okien północy-wschód - Jasna otwarta kuchni -  9,5 m2  - ekspozycja okien północy-wschód - Łazienki - prysznic / wanna / WC -  6,5 m2 - Wiatrołapu  - 3,5 m2 - Korytarza -  5,5 m2 - Klatka schodowej - Poddasze -  37 m2  (o wys. min. 220 m)( 71 m2  wg powierzchni podłogi)  WYPOSAŻENIE: Dom został wykończony przez dewelopera z ogromną dokładność z użyciem najlepszych materiałów. Mieszkanie również wykończenie zostało z ogromną starannością pod  okiem  architekta z wykorzystanie pomysłów obecnych właścicieli.  Podłogi na pietrze oraz zostały wykończone wysokiej jakości gresem polerowanym. Ogrzewanie zasilane z pieca gazowego wysokiej jakości z modułem sterowania. Podgrzewane podłogi w łazience oraz kuchni. KOSZTY UTRZYMANIA: - GAZ   -  średnia z 12 miesięcy - ok.  350 zł/miesiąc -  PRĄD  -  średnia z 12 miesięcy - ok.  270 zł/miesiąc - WYWÓZ ŚMIECI - ok.  107 zł/miesiąc - TV i INTERNET(ŚWIATŁOWÓD)   - ok.  100 zł/miesiąc     TOTAL : ok.  830 zł /miesiąc POŁOŻENIE I OKOLICA: Idealna lokalizacja w spokojnej cześć Rembertowa, w odległości: - 500 m do lasu - 1 km do sklepów, przedszkola, szkoły, restauracji. banków, - 1 km do komunikacji autobusowej, - 2 km do stacji SKM2 i KM Rembertów, Bezpośredni dojazd autobusem : - 143  (do Metra Politechnika - czas dojazdu ok. 35 min) -  199  (do  Metra Trocka  -  czas dojazd ok. 40 min) Dzięki połączeniu SKM 2 można dogodnie i szybko dojechać do centrum i na lotnisko Chopina CENA DO NEGOCJACJI  Wyjątkowy dwupoziomowe mieszkanie właśnie dla Twojej Rodziny. # DZWOŃ I UMÓW SIĘ NA PREZENTACJĘ ! ! !  tel. 504 290 908 #    JAKO EKSPERT FINANSOWY CHĘTNIE POMOGĘ CI W ZBADANIU ZDOLNOŚCI    KREDYTOWEJ ORAZ POPROWADZĘ ZA RĄCZKĘ PODCZAS PROCESU KREDYTOWEGO! ! ! Informacje   dotyczące opisu nieruchomości podane są przez właściciela, mają   charakter wyłącznie informacyjny.  Oferta dotycząca nieruchomości nie   stanowi oferty określonej w art. 66 oraz następnych Kodeksu Cywilnego. Zapraszam na prezentację nieruchomości codziennie w godzinach 9.00 - 21.00 (po wcześniejszym umówieniu się) Rafał Zając Pośrednik w Obrocie Nieruchomości - licencja nr 22725 Warsaw Real House NIERUCHOMOŚCI tel. 504 290 908 Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()"
Perspektywa okolicy /Spokojna okolica /Przestronne,https://www.otodom.pl/pl/oferta/perspektywa-okolicy-spokojna-okolica-przestronne-ID4rFkJ,54.94,balkon,do wykończenia,10-Jan,pełna własność,"Górce, Bemowo, Warszawa, mazowieckie",Miejsce parkingowe,925000,16837,750,2,"MDP PARTNERS PREDSTAWIA 2 pokojowe mieszkanie zlokalizowane na Warszawskim Bemowie, 3 minuty do przestanku tramwajowego oraz autobusowego ! Mieszkanie usytuowane na 1 piętrze 10 piętrowego budynku oddanego do użytku 2008 roku. Ciche, zamknięte osiedle z kontrolą dostępu, które oferuje wspólny plac zabaw oraz miejsce do wypoczynku wśród zieleni i drzew. Łączna powierzchnia mieszkania wynosi 54,94 m2 składa się z: - salonu połączonego z otwartą kuchnią 30,40 m2 - przestronnej sypialni 10,96 m2 - dużego holu 8,63 m2 - łazienki 4,95 m2 Dodatkową powierzchnię mieszkania stanowi wyjątkowo  duży balkon  o powierzchni  11,98 m2 ! W parkingu podziemnym jest możliwość wynajęcia miejsca parkingowego około 300 zł za miesiąc. Czynsz  miesięcznie wynosi około  750zł Wyposażenie : W sypialni umieszczona szafa w narożniku pomieszczenia, obok drzwi wejściowych. Jest to szafa wnękowa z drzwiami przesuwnymi. Posiada półki oraz po prawej stronie przestrzeń przeznaczoną na ubrania wiszące lub inne przedmioty. W holu również znajduje się szafa umieszczona według ściany holu, posiada przesuwane, jednolite drzwi bez uchwytów. Szafa ta rekompensuje brak komórki w mieszkaniu, oferując dużo przestrzeni do przechowywania. Mieszkanie będzie gotowe do zamieszkania po odświeżeniu. Lokalizacja : Za chwilę na miejscu CH Pasaż Tesco powstanie Kaufland, zaledwie 2 minuty pieszo. Planowane jest również otwarcie kolejnej stacji metra, Metro Lazurowa, 5 minut pieszo. Bemowo jest dynamicznie rozwijającą się dzielnicą, która stale inwestuje w infrastrukturę i udogodnienia dla mieszkańców. Planowane są nowe inwestycje mieszkaniowe, handlowe oraz usługowe, co dodatkowo zwiększy atrakcyjność tej lokalizacji w najbliższych latach. W okolicy znajduje się pełna gama udogodnień niezbędnych do codziennego życia. W pobliżu mieszkania znajdziesz liczne sklepy, supermarkety, restauracje, kawiarnie. Dla rodzin z dziećmi istotne będą także pobliskie placówki edukacyjne - przedszkola, szkoły podstawowe oraz licea. 8 minut spacerem do Parku Górczewskiego. Cicha i spokojna okolica dla osób ceniących sobie wysoki komfort o prywatność. Tuż przy osiedlu znajduje się przystanek tramwajowy, podróż do Metro Bemowo trwa zaledwie 2 minuty ! Zapraszam do kontaktu oraz prezentacji Vitalii Riabokin MDP Partners MDP Partners oferuje nabywcom obsługę prawną transakcji i jej bezpieczną finalizację, oraz pomoc w sfinansowaniu każdego rodzaju nieruchomości."
